dsNome,nrCpfCnpj,sgEstado,dtAbert,dtValcad,cdSituac,dsSituac,nrCep,dsEnd,nrEnd,dsBairro,dsCidade,dsCompl,nrDDD,nrTel,nrDDDCel,nrCel,dsEmail,cdPess,cdAtvCl,cdAutscr,cdGrupo,cdPais,bensImoveis[0].idAcao,bensImoveis[0].cdPais,bensImoveis[0].nmImovel,bensImoveis[0].tpImovel,bensImoveis[0].nmEnd,bensImoveis[0].nrEnd,bensImoveis[0].nmBairro,bensImoveis[0].nmCidade,bensImoveis[0].nrCep,bensImoveis[0].sgEstado,dadosBancarios[0].idAcao,dadosBancarios[0].nrBanco,dadosBancarios[0].nrAgencia,dadosBancarios[0].nrConta,dadosBancarios[0].dvConta,dadosBancarios[0].idPrincipal,dadosBancarios[0].dtAbert,dadosPf.dtNasc,dadosPf.tpSexo,dadosPf.cdProf,dadosPf.tpDoc,dadosPf.nrDoc,dadosPf.sgEmissor,dadosPf.dtEmissao,dadosPf.sgEstadoNat,dadosPf.cdEstCivil,dadosPf.idUniao,dadosPf.nomeMae,dadosPf.nomePai,dadosPf.naturalidade,dadosPf.nomeCidadeNaturalidade,dadosPf.nacionalidade,dadosPf.idGrinst,dadosPf.nrDepend,dadosPf.idLe6515,dadosPf.cdPais,dadosPj.amFatMes,dadosPj.cdCapital,dadosPj.cdSetor,dadosPj.cdTribute,dadosPj.dtAberturaEmpresa,dadosPj.idConsti,dadosPj.idContAcio,dadosPj.nomeFantasia,dadosPj.qtFuncio,dadosProfissionais.cdProf,dadosProfissionais.dsCargo,dadosProfissionais.dtAdmis,dadosProfissionais.vlRendaBruta,dadosProfissionais.vlRendaLiquida,dadosProfissionais.cdPorte,dadosProfissionais.cdLoctb,dadosProfissionais.cdPais,dadosProfissionais.nrCep,dadosProfissionais.nmEnd,dadosProfissionais.nrEnd,dadosProfissionais.nmBairro,dadosProfissionais.nmCidade,dadosProfissionais.sgEstado,refPessoais[0].nome,refPessoais[0].nrDDDTel,refPessoais[0].nrTel
Jacarandá Móveis Planejados ME,98377821000146,CE,20150101,20260723,1,ATIVO,92556269,Rua XV de Novembro,3109,Bela Vista,Fortaleza,,93,3095976353,71,919576001,jacaranda@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,33,6059,536684,6,S,19950101,,,,,,,,,,,,,,,,,,,,4216445,E,3,3,20150101,11,2,Jacarandá,172,,,,,,,,,,,,,,,,,
Rafael Gomes Pereira,36559362493,PA,20130101,20260723,1,ATIVO,46626615,Rua Sete de Setembro,2229,Jardim América,Belém,,73,29180305,36,957558763,rafael.gomes.pereira@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,9402,278381,0,S,19900101,19920512,M,2,1,746677965,SSP,20100101,PA,1,2,Mãe de Rafael,,,,1,10,2,N,1,,,,,,,,,,2,ENGENHEIRO,20180101,10291.22,15189.25,2,1,1,85118635,Alameda Santos,690,Jardim América,Belém,PA,Referência de Rafael,85,21792082
Delta Engenharia e Projetos SA,94131509000117,BA,20110101,20260723,1,ATIVO,54917956,Avenida Brasil,2388,Centro,Salvador,,89,3709500552,82,986665689,delta@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,1486,989646,2,S,19950101,,,,,,,,,,,,,,,,,,,,4615370,N,2,1,20110101,5,2,Delta,83,,,,,,,,,,,,,,,,,
Aline Cristina Moraes,1234567890,RS,20140101,20260723,1,ATIVO,12474155,Rua Sete de Setembro,280,Jardim América,Porto Alegre,,47,28641656,16,900308534,aline.cristina.morae@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,33,2056,645226,5,S,19900101,19720222,F,6,1,466057157,SSP,20100101,RS,4,2,Mãe de Aline,,,,1,7,4,N,1,,,,,,,,,,6,ANALISTA,20180101,13609.01,18026.26,8,1,1,15778626,Avenida Paulista,3095,Bela Vista,Porto Alegre,RS,Referência de Aline,29,33843980
Bandeirante Comércio de Alimentos ME,46601080000131,GO,20090101,20260723,1,ATIVO,23841528,Rua XV de Novembro,3174,Centro,Goiânia,,79,3606811047,89,965056777,bandeirante@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,1,3770,681880,8,S,19950101,,,,,,,,,,,,,,,,,,,,4587295,M,3,3,20090101,10,2,Bandeirante,268,,,,,,,,,,,,,,,,,
João Pedro Almeida,12043757474,BA,20090101,20260723,1,ATIVO,29778866,Alameda Santos,1656,Industrial,Salvador,,42,26891620,48,997942578,joao.pedro.almeida@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,33,6830,749022,1,S,19900101,19990815,M,3,1,104020631,SSP,20100101,BA,5,1,Mãe de João,,,,1,6,1,N,1,,,,,,,,,,3,ANALISTA,20180101,17749.48,4396.50,5,1,1,17453633,Rua Sete de Setembro,1452,Bela Vista,Salvador,BA,Referência de João,85,21442213
Estrela Confecções Têxteis LTDA,25338276000105,GO,20010101,20260723,1,ATIVO,75528839,Rua Sete de Setembro,3994,Bela Vista,Goiânia,,26,2786106169,96,903935801,estrela@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,341,5197,26195,9,S,19950101,,,,,,,,,,,,,,,,,,,,2242237,N,1,1,20010101,8,2,Estrela,148,,,,,,,,,,,,,,,,,
Aurora Serviços Digitais LTDA,17369809000198,BA,20040101,20260723,1,ATIVO,29509310,Avenida Paulista,3302,Jardim América,Salvador,,86,3075371504,33,984184968,aurora@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,1,5129,764377,2,S,19950101,,,,,,,,,,,,,,,,,,,,2029550,M,3,1,20040101,7,2,Aurora,171,,,,,,,,,,,,,,,,,
Mariana Ribeiro Santos,45466560170,PE,20060101,20260723,1,ATIVO,40963799,Travessa dos Pioneiros,1946,Centro,Recife,,55,37775490,80,943578398,mariana.ribeiro.sant@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,7980,22163,3,S,19900101,19790116,M,3,1,689369619,SSP,20100101,PE,3,1,Mãe de Mariana,,,,1,10,3,N,1,,N,1,,,,,,,3,PROFESSOR,20180101,7431.50,5140.42,1,1,1,20190723,Avenida Brasil,3042,Bela Vista,Recife,PE,Referência de Mariana,25,38847082
Bandeirante Comércio de Alimentos ME,71741635000198,RJ,20150101,20260723,1,ATIVO,46014256,Rua Sete de Setembro,3158,Jardim América,Rio de Janeiro,,94,3678544045,33,901115465,bandeirante@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,1,1361,826601,4,S,19950101,,,,,,,,,,,,,,,,,,,,4817292,M,4,1,20150101,7,1,Bandeirante,138,,,,,,,,,,,,,,,,,
